seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
49,14,31,2,,3490,3168,4395,2179,2464,370
22,15,2,1,2631,2529,1850,1434,1957,2039,
59,15,4,1,2438,2724,2142,1418,1084,1334,
52,15,6,1,1738,1812,2351,2311,1349,1852,
13,15,8,1,1447,2195,2204,1020,1546,2286,
54,15,10,1,1420,1255,1267,1563,1121,1363,
21,15,12,1,1180,2117,4693,1535,1367,1734,
20,15,14,1,1333,1089,1349,1174,1035,984,
62,15,16,1,1819,2392,2118,1209,883,1569,
8,15,18,1,2060,2133,2797,4221,1220,2425,
11,15,20,1,2171,1643,1532,1272,1635,1758,
19,15,22,1,1418,1735,1624,1582,1251,1828,
58,15,24,1,1264,1535,1442,1369,793,2953,
65,15,26,1,2269,1508,2483,1097,1135,1099,
39,15,28,1,6971,4086,2716,1522,1089,3017,
5,15,30,1,3281,3416,2295,2170,1419,3411,
49,15,32,1,1491,2676,2389,2856,1017,947,
63,15,1,2,2304,2383,1109,1272,1255,2375,
56,15,3,2,1852,1340,2542,1815,1962,4110,
25,15,5,2,6308,3285,1907,1850,1618,2005,
47,15,7,2,2438,1043,1617,1192,1000,2022,
50,15,9,2,1281,1837,1006,1144,1413,1265,
66,15,11,2,3402,2803,1965,1102,1468,2696,
67,15,13,2,4108,1631,3681,2499,2153,2729,
36,15,15,2,1088,1343,2345,957,1214,2174,
24,15,17,2,522,5880,3474,2947,1309,1367,
15,15,19,2,3184,2193,2410,1012,1202,2767,
17,15,21,2,1859,901,1392,1217,1032,1411,
33,15,23,2,1927,1926,1152,3732,1368,2041,
10,15,25,2,1782,2281,1613,2620,994,2344,
45,15,27,2,2758,1535,1531,2028,1544,2202,
40,15,29,2,3358,1922,2684,2091,1786,1898,
34,15,31,2,2693,3124,3282,1508,1606,1756,
21,16,2,1,2966,3003,3969,1894,1451,3234,1277
55,16,4,1,3048,2087,3274,1621,1575,1657,
46,16,6,1,2456,1351,1885,2053,1790,1940,
20,16,8,1,592,2744,522,823,1083,2377,
54,16,10,1,1434,4063,2901,2023,2503,1987,
45,16,12,1,1594,2837,2884,2143,1266,844,157
15,16,14,1,777,933,1462,1080,1868,1046,301
12,16,16,1,2029,3180,1992,1070,2323,1645,491
40,16,18,1,2333,2696,1691,3206,829,2392,
63,16,20,1,567,5602,5542,1651,1658,1143,
37,16,22,1,862,1177,1659,1531,2541,1724,
59,16,24,1,727,3031,3649,1906,1103,1356,
47,16,26,1,2112,1427,1199,1334,2024,1618,
43,16,28,1,1791,3005,2140,1440,3631,1660,
18,16,30,1,2268,1303,1276,2180,1438,2120,
39,16,32,1,816,2271,533,1760,1808,1918,615
35,16,1,2,2161,2741,1288,2789,1366,2249,590
14,16,3,2,2638,1756,1119,684,2404,2212,
10,16,5,2,3228,1563,1662,1374,2113,1700,
29,16,7,2,2238,2137,474,2641,2319,1482,
50,16,9,2,1822,1561,1484,1805,2048,1523,
57,16,11,2,1843,3540,2667,1679,1594,2047,
66,16,13,2,778,2007,1965,1742,1612,1683,
25,16,15,2,239,2247,1193,2029,1858,2299,155
41,16,17,2,1753,1040,2168,1092,2895,2415,
7,16,19,2,2387,1790,1541,1127,1821,3456,
51,16,21,2,1939,1913,2185,1810,1895,2420,
13,16,23,2,1987,1644,1935,1184,1338,2984,404
61,16,25,2,1773,915,2367,1805,1841,1856,
9,16,27,2,2396,1773,2285,2115,1465,2013,
17,16,29,2,2987,1381,1165,2057,1209,2116,160
60,16,31,2,2049,1674,1848,2272,1561,1650,
36,17,2,1,2829,4186,2547,1202,2240,1646,
63,17,4,1,3203,4729,2337,1547,915,1282,
62,17,6,1,1689,2849,4827,1551,1998,1361,
25,17,8,1,2810,1864,1745,1567,2033,2696,
56,17,10,1,1915,1179,784,916,1518,1068,
18,17,12,1,1215,3747,2038,1028,2239,738,
13,17,14,1,1666,1429,1205,977,2045,1744,
11,17,16,1,1768,1946,2141,1432,1031,2331,
53,17,18,1,4393,2154,2117,475,667,1143,
45,17,20,1,3180,1488,1961,891,976,1472,
