seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
54,13,13,1,0,1,0,0,0,1,
30,13,15,1,0,0,0,1,1,0,
20,13,17,1,0,0,1,0,0,1,
38,13,19,1,0,0,0,0,0,1,
50,13,21,1,0,0,0,1,0,1,
45,13,23,1,0,1,0,0,0,0,
65,13,25,1,0,0,0,,1,0,
60,13,27,1,0,0,0,0,0,1,
48,13,29,1,0,0,0,0,0,0,
42,13,31,1,0,0,0,1,0,0,
44,13,2,2,0,0,0,0,1,1,
52,13,4,2,0,0,0,0,1,1,
14,13,6,2,0,1,0,0,0,0,
12,13,8,2,0,1,1,0,0,1,
56,13,10,2,0,0,0,0,0,0,
8,13,12,2,0,0,1,1,,1,
15,13,14,2,0,0,0,0,0,1,
28,13,16,2,0,0,1,0,0,1,
47,13,18,2,0,0,0,0,0,1,
66,13,20,2,0,0,0,0,0,0,
32,13,22,2,0,0,0,0,0,1,
49,13,24,2,0,1,0,0,,1,
23,13,26,2,0,0,0,0,0,0,
33,13,28,2,0,0,0,0,0,0,
37,13,30,2,0,0,0,0,0,1,
17,13,32,2,0,0,0,0,0,1,
22,14,1,1,0,0,1,0,,1,
57,14,3,1,0,0,0,0,0,1,
44,14,5,1,0,0,1,0,0,0,
24,14,7,1,0,1,0,0,0,1,
5,14,9,1,0,0,0,0,0,1,
32,14,11,1,0,0,0,0,,1,
49,14,13,1,0,0,0,0,0,1,
17,14,15,1,0,0,0,0,0,0,
26,14,17,1,0,0,0,0,0,1,
12,14,19,1,0,0,0,0,0,1,
61,14,21,1,0,0,0,1,,1,
67,14,23,1,0,1,0,0,0,1,
52,14,25,1,0,0,0,0,0,0,
60,14,27,1,0,0,0,0,1,1,
54,14,29,1,0,1,0,0,0,1,
36,14,31,1,0,0,0,0,0,1,
8,14,2,2,0,0,0,0,0,1,
13,14,4,2,0,1,1,1,1,1,
18,14,6,2,0,1,1,1,0,1,
39,14,8,2,0,0,0,0,0,1,
